"titlemenu_play","Play",
"titlemenu_quit","Quit",               
"titlemenu_settings","Settings",               
"titlemenu_tutorial","Tutorial",                       
"gameversion","NNF Version {a}",	
"shopdirection1","(Click an item to drag and drop it into your inventory.)",	
"shopdirection2","(Press [{a}] on items in your inventory to sell them.)",	
"item_name0","Pants",	
"item_name1","Noodle",		
"item_name2","Cactus",	
"item_name3","Flame Thrower",		
"item_name4","Lobster Claw",	
"item_name5","Monstrosity",	
"item_name6","Jake the Snake",	
"item_name7","Strawberry",
"item_name8","Nose",		
"item_name9","Crazy Straw",		
"item_name10","Evil Goose",		
"item_name11","Flaming Skull",		
"item_name12","Sea Cucumber",		
"item_name13","Tart Lard",		
"item_name14","Pedro",	
"item_name15","Fly Agaric",		
"item_name16","Finger Puppet",		
"item_name17","Jacks",	
"item_name18","Croissant",	
"item_name19","Donut",		
"item_name20","Rubber Chicken",		
"item_name21","1 Ton of Feathers",		
"item_name22","Dancing Dino",		
"item_name23","Squirmy",	
"item_name24","Generator",	
"item_name25","Test Item 1",		
"item_name26","Test Item 2",	
"item_name27","Test Item 3",	
"item_name28","Flutty",		
"item_name29","Yeti",		
"item_name30","Kazoo",	
"item_name31","Squid",		
"item_name32","3D-Glasses",	
"item_name33","Uranium Rod",	
"item_name34","The Pointer",	
"item_name35","The Grabber",		
"item_name36","HotDog-Dog",		
"trig_firstpop","First peg popped ->",		
"trig_pegpop","Peg popped ->",		
"trig_pegfullpop","Peg fully popped ->",		
"trig_halfsec","Every half second ->",		
"trig_onesec","Every 1 second ->",		
"trig_oneandhalfsec","Every 1.5 seconds ->",		
"trig_twosec","Every 2 seconds ->",		
"trig_twoandhalfsec","Every 2.5 seconds ->",		
"trig_threesec","Every 3 seconds ->",	
"trig_threeandhalfsec","Every 3.5 seconds ->",
"trig_foursec","Every 4 seconds ->",		
"trig_fivesec","Every 5 seconds ->",		
"trig_gainlife","Gain life ->",		
"trig_nubbylaunch","Nubby launched ->",		
"trig_nubbydies","Nubby dies ->",		
"trig_purchaseitem","Purchase item ->",	
"trig_hitwall","Nubby hits wall ->",	
"trig_anysummoned","Summon anything ->",		
"trig_fivesummoned","Summon 5 things ->",	
"trig_rankup","Rank up ->",		
"trig_sellitem","Sell item ->",		
"trig_sellme","Sell this item ->",		
"trig_passgoal","Pass round goal ->",		
"trig_boardclear","Board cleared ->",		
"trig_twopegspopped","2 pegs popped ->",		
"trig_fivepegspopped","5 pegs popped ->",		
"trig_tenpegspopped","10 pegs popped ->",		
"trig_fifteenpegspopped","15 pegs popped ->",		
"trig_thirtypegspopped","30 pegs popped ->",		
"trig_enableitem","Any item re-enabled ->",		
"trig_itemactivate","Any item activates ->",		
"trig_itemfireleft","Item to the left of me activates ->",		
"trig_itemfireright","Item to the right of me activates ->",		
"trig_itemfireslotone","Item in slot #1 activates ->",		
"trig_itemfireslottwo","Item in slot #2 activates ->",		
