titlemenu_play,Играть
titlemenu_quit,Выход
titlemenu_settings,Настройки
titlemenu_tutorial,Обучение
gameversion,Версия игры: {a}
shopdirection1,"(Нажми на предмет, чтобы поместить его в инвентарь.)"
shopdirection2,"(Нажми [{a}] на предмет в инвентаре, чтобы продать его)."
item_name0,Штаны
item_name1,Лапша
item_name2,Кактус
item_name3,Огнемет
item_name4,Клешня Лобстера
item_name5,Чудище
item_name6,Змей Джейк
item_name7,Земляника
item_name8,Нос
item_name9,Бешеная Трубочка
item_name10,Злобный Гусь
item_name11,Горящий Череп
item_name12,Морской Огурец
item_name13,Сальная Печенька
item_name14,Педро
item_name15,Мухомор
item_name16,"”Пальчиковая Кукла"""
item_name17,Иглы
item_name18,Круассан
item_name19,Пончик
item_name20,Курица-Пищалка
item_name21,Тонна Перьев
item_name22,Жгущий Динозавр
item_name23,Гусеничка
item_name24,Генератор
item_name25,Тестовый Предмет 1
item_name26,Тестовый Предмет 2
item_name27,Тестовый Предмет 3
item_name28,Порхалка
item_name29,Йети
item_name30,Казу
item_name31,Кальмар
item_name32,3D-Очки
item_name33,Урановый Стержень
item_name34,Указатель
item_name35,Хватайка
item_name36,ХотДог-Дог
trig_firstpop,Первый шарик лопнул ->
trig_pegpop,Шарик лопнул ->
trig_pegfullpop,Шарик полностью лопнул ->
trig_halfsec,Каждые полсекунды ->
trig_onesec,Каждую 1 секунду ->
trig_oneandhalfsec,"Каждые 1,5 секунды ->"
trig_twosec,Каждые 2 секунды ->
trig_twoandhalfsec,"Каждые 2,5 секунды ->"
trig_threesec,Каждые 3 секунды ->
trig_threeandhalfsec,"Каждые 3,5 секунды ->"
trig_foursec,Каждые 4 секунды ->
trig_fivesec,Каждые 5 секунд ->
trig_gainlife,Получить жизнь ->
trig_nubbylaunch,Набби запущен ->
trig_nubbydies,Набби умирает ->
trig_purchaseitem,Купить предмет ->
trig_hitwall,Набби ударяется об стену ->
trig_anysummoned,Призвать что-либо ->
trig_fivesummoned,Призвать 5 вещей ->
trig_rankup,Если ранг повышен ->
trig_sellitem,Продать предмет ->
trig_sellme,Продать этот предмет ->
trig_passgoal,Если норма выполнена ->
trig_boardclear,Если доска очищена ->
trig_twopegspopped,Если 2 шарика лопнули ->
trig_fivepegspopped,Если 5 шариков лопнули ->
trig_tenpegspopped,Если 10 шариков лопнули ->
trig_fifteenpegspopped,Если 15 шариков лопнули ->
trig_thirtypegspopped,Если 30 шариков лопнули ->
trig_enableitem,Любой предмет снова можно использовать ->
trig_itemactivate,Любой предмет активируется ->
trig_itemfireleft,Предмет слева от меня активируется->
trig_itemfireright,Предмет справа от меня активируется->
trig_itemfireslotone,Предмет в слоте 1 активируется ->
trig_itemfireslottwo,Предмет в слоте 2 активируется ->
trig_itemfireslotthree,Предмет в слоте 3 активируется ->
trig_itemfireslotfour,Предмет в слоте 4 активируется ->
trig_itemfireslotfive,Предмет в слоте 5 активируется ->
trig_itemfireslotsix,Предмет в слоте 6 активируется ->
trig_itemfireslotseven,Предмет в слоте 7 активируется ->
null,Ошибка: пусто
item_desc0,{a}*Удвойте два случайных шара и разделите один случайный шар
item_desc1,{a}*Удваивает один случайный шар или уменьшает один случайный шар в 2 раза.
item_desc2,{a}*С неба упадет шипов: {b} {a}и онм лопнут шариков: {c}.
item_desc3,{a}*Случайный шарик взорвется и лопнет {b}(максимум) соседних шариков.
item_desc4,"{a}*Каждый предмет в инвентаре даст очки, равные числу на случайном шарике."
item_desc5,"{a}*Призывает {b}мясной шар{b}, который будет летать вокруг и лопать шарики. {a}*Мясные шары умирают, когда умирает Набби."
item_desc6,{a}*{b}/{c} шанс временно удвоить число на всех шариках.
item_desc7,{a}*Ошибка: пусто
item_desc8,"{a}*Случайный шарик испускает {c} {b} сопливых пуль {b}, которые лопают все шарики, через которые проходят."
item_desc9,{a}*Лопает случайных шариков: {b}
item_desc10,{a}*Ошибка: пусто
